City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,acapulco de juarez,16.8634,-99.8901,27.34,64,98,2.05,MX,1730235624
242,jinka,5.65,36.65,17.87,85,30,1.41,ET,1730235780
243,port moresby,-9.4431,147.1797,23.68,94,40,1.03,PG,1730235781
244,bilibino,68.0546,166.4372,-23.63,99,16,2.15,RU,1730235782
245,xining,36.6167,101.7667,4.89,81,37,0.7,CN,1730235783
246,ericeira,38.9627,-9.4156,19.64,81,82,3.86,PT,1730235784
247,lhokseumawe,5.1801,97.1507,25.4,87,100,2.33,ID,1730235786
248,nagqu,31.5,92.0,-0.04,28,86,0.76,CN,1730235787
249,la cruz,23.9167,-106.9,30.45,57,0,4.67,MX,1730235788
250,taruma,-22.7467,-50.5772,30.15,31,0,1.47,BR,1730235789
251,villamontes,-21.25,-63.5,38.69,25,20,0.0,BO,1730235790
252,saudarkrokur,65.7461,-19.6394,1.84,92,98,4.11,IS,1730235791
253,la'ie,21.6477,-157.9253,25.66,92,95,0.89,US,1730235794
254,hirara,24.8,125.2833,27.15,94,75,9.77,JP,1730235795
255,st. john's,47.5649,-52.7093,3.87,92,100,5.14,CA,1730235594
256,kodiak,57.79,-152.4072,5.73,49,0,18.01,US,1730235797
257,longquan,24.6719,102.1613,13.85,93,0,1.41,CN,1730235798
258,san andres,12.5847,-81.7006,24.01,100,40,1.03,CO,1730235799
259,amahai,-3.3333,128.9167,25.67,83,73,2.04,ID,1730235800
260,constantia,44.1833,28.65,7.38,62,0,3.83,RO,1730235802
261,jalgaon,21.0167,75.5667,23.46,58,0,1.15,IN,1730235632
262,ardestan,33.3761,52.3694,11.98,40,0,1.41,IR,1730235804
263,tocopilla,-22.092,-70.1979,19.9,69,40,5.3,CL,1730235805
264,quellon,-43.1167,-73.6167,14.0,71,100,5.35,CL,1730235806
265,americus,32.0724,-84.2327,24.07,53,0,3.09,US,1730235807
266,nadi,-17.8,177.4167,28.0,61,75,0.0,FJ,1730235808
267,itacarambi,-15.1022,-44.0919,28.93,48,53,2.71,BR,1730235809
268,khovd,48.0056,91.6419,0.11,48,14,2.42,MN,1730235811
269,ayorou,14.7308,0.9174,30.99,11,100,4.06,NE,1730235812
270,fale old settlement,-9.3852,-171.2468,28.18,77,14,6.42,TK,1730235814
271,sisimiut,66.9395,-53.6735,-9.09,65,10,5.14,GL,1730235815
272,touros,-5.1989,-35.4608,25.43,72,87,6.58,BR,1730235816
273,soto la marina,23.7667,-98.2167,32.09,45,5,8.3,MX,1730235817
274,sergeyevka,53.88,67.4158,-0.86,93,49,2.61,KZ,1730235820
275,roma,43.2128,-75.4557,12.08,87,100,3.6,US,1730235821
276,mil'kovo,55.6078,37.7956,3.13,48,9,2.89,RU,1730235823
277,kismayo,-0.3582,42.5454,25.52,83,39,6.29,SO,1730235824
278,zhanaozen,43.3,52.8,7.56,75,3,2.59,KZ,1730235825
279,kourou,5.1552,-52.6478,27.08,74,100,3.81,GF,1730235827
280,kayenta,36.7278,-110.2546,9.63,37,0,10.98,US,1730235828
281,alice,27.7523,-98.0697,30.94,58,75,9.77,US,1730235829
282,ouddorp,51.8117,3.9347,13.32,89,100,3.24,NL,1730235830
283,katsuura,35.1333,140.3,15.81,95,100,10.92,JP,1730235831
284,praia da vitoria,38.7333,-27.0667,19.14,88,40,4.75,PT,1730235832
285,winnemucca,40.973,-117.7357,6.28,40,67,4.28,US,1730235833
286,gurjaani,41.7429,45.8011,7.83,67,49,1.45,GE,1730235835
287,flying fish cove,-10.4217,105.6791,24.82,88,20,3.6,CX,1730235836
288,ingeniero jacobacci,-41.3427,-69.5448,29.47,8,63,7.02,AR,1730235837
289,bairnsdale,-37.8333,147.6167,12.81,90,32,2.72,AU,1730235838
290,tralee,52.2704,-9.7026,12.48,93,88,1.15,IE,1730235839
291,suhbaatar,50.2314,106.2078,2.06,82,100,1.28,MN,1730235840
292,haiku-pauwela,20.9219,-156.3051,27.01,73,20,11.62,US,1730235841
293,tokar,18.4254,37.729,29.6,72,38,3.86,SD,1730235842
294,mitu,1.1983,-70.1733,26.03,95,100,1.02,CO,1730235844
295,bima,-8.4667,118.7167,24.91,89,7,1.51,ID,1730235845
296,tegueste,28.5167,-16.3167,17.21,86,20,4.92,ES,1730235846
297,yanai,33.9667,132.1167,16.0,90,67,2.84,JP,1730235847
298,natal,-5.795,-35.2094,27.12,69,20,8.23,BR,1730235615
299,beltran,-27.8291,-64.061,37.08,17,0,4.3,AR,1730235851
300,charles city,43.0664,-92.6724,27.77,47,20,10.29,US,1730235852
301,n'zeto,-7.2312,12.8666,25.03,79,82,4.03,AO,1730235853
302,yuzhno-kurilsk,44.0306,145.8556,7.35,78,96,0.23,RU,1730235854
303,bodaybo,57.8506,114.1933,-5.94,97,99,0.75,RU,1730235855
304,sa'dah,16.9402,43.7639,18.52,50,14,1.25,YE,1730235856
305,strezhevoy,60.7333,77.5889,-0.88,97,100,4.14,RU,1730235857
306,utrik,11.2278,169.8474,28.41,77,68,6.72,MH,1730235859
307,paredon,16.0333,-93.8667,30.24,67,100,4.38,MX,1730235860
308,santo tomas,14.1079,121.1414,25.32,88,100,4.71,PH,1730235861
309,plavsk,53.7094,37.2919,4.15,94,32,2.9,RU,1730235862
